engagement_id,unit_type,terrain,weather,visibility_km,target_density,contact_duration_min,rounds_planned,rounds_expended,spend_efficiency,mission_success
416,Infantry,Snow,Overcast,4.2,High,44,115,160,Over,0
417,Infantry,Mountain,Snow,5.3,High,24,221,235,Efficient,1
418,Mechanized,Forest,Snow,4.4,Medium,11,170,48,Under,1
419,SF,Desert,Clear,4.7,Low,23,181,99,Under,1
420,Mechanized,Snow,Fog,2.6,Medium,37,126,85,Under,1
421,Mechanized,Forest,Overcast,4.6,Low,31,156,112,Under,1
422,Mechanized,Snow,Rain,5.3,High,17,118,65,Under,1
423,Mechanized,Urban,Clear,5.2,High,9,115,33,Under,1
424,Artillery,Mountain,Fog,1.9,High,36,202,303,Over,0
425,SF,Urban,Rain,4.7,High,26,158,166,Efficient,1
426,Infantry,Forest,Snow,1.6,High,31,102,124,Over,1
427,Infantry,Desert,Snow,4.8,Low,32,310,302,Efficient,1
428,SF,Snow,Rain,3.1,Low,41,112,81,Under,1
429,Infantry,Mountain,Clear,7.9,High,47,245,431,Over,0
430,SF,Snow,Snow,4.7,Medium,37,91,98,Efficient,1
431,Infantry,Forest,Overcast,6.1,Medium,30,207,195,Efficient,1
432,Mechanized,Snow,Rain,8.7,High,35,164,256,Over,0
433,Infantry,Mountain,Rain,2.9,Low,29,142,107,Under,1
434,SF,Forest,Snow,5.4,Medium,10,191,79,Under,1
435,SF,Snow,Clear,2.1,Medium,51,183,289,Over,0
436,SF,Desert,Overcast,5.2,Medium,48,131,167,Over,0
437,SF,Forest,Clear,8.0,High,64,128,298,Over,0
438,SF,Forest,Fog,3.2,Medium,69,85,198,Over,0
439,Artillery,Desert,Fog,2.7,Medium,17,198,105,Under,1
440,Artillery,Urban,Snow,4.3,Medium,29,104,110,Efficient,1
441,Infantry,Mountain,Snow,8.6,Medium,72,180,304,Over,0
442,SF,Urban,Snow,6.0,Low,34,215,254,Over,1
443,Infantry,Snow,Fog,2.7,High,38,192,283,Over,0
444,SF,Desert,Clear,7.4,High,12,136,44,Under,1
445,SF,Urban,Clear,1.2,Low,37,234,156,Under,1
446,Artillery,Forest,Snow,8.8,Low,63,155,187,Over,1
447,Artillery,Snow,Overcast,6.2,High,54,99,155,Over,0
448,Mechanized,Snow,Clear,8.0,Medium,25,162,115,Under,1
449,Artillery,Urban,Fog,1.2,Medium,29,215,230,Efficient,1
450,Mechanized,Urban,Rain,4.8,High,18,139,101,Under,1
451,Mechanized,Desert,Rain,4.2,Medium,22,232,159,Under,1
452,Mechanized,Mountain,Rain,2.5,Low,6,133,15,Under,1
453,Mechanized,Urban,Overcast,1.9,Medium,33,141,105,Under,1
454,Mechanized,Urban,Snow,5.5,Medium,57,117,199,Over,0
455,Infantry,Forest,Fog,5.7,Medium,40,221,255,Over,1
456,Artillery,Snow,Overcast,7.1,High,55,176,322,Over,0
457,Mechanized,Mountain,Fog,3.5,Low,51,121,147,Over,1
458,SF,Forest,Fog,4.2,Medium,26,156,121,Under,1
459,Artillery,Desert,Snow,1.7,High,23,30,24,Under,1
460,Artillery,Desert,Rain,7.6,Medium,24,226,176,Under,1
461,Mechanized,Urban,Snow,4.6,Low,9,169,38,Under,1
462,Infantry,Urban,Overcast,5.9,Medium,35,35,25,Under,1
463,Mechanized,Desert,Overcast,6.0,Low,5,92,10,Under,1
464,Infantry,Urban,Overcast,7.4,Medium,43,154,184,Over,1
465,SF,Mountain,Snow,2.8,Low,36,101,71,Under,1
466,Artillery,Urban,Fog,5.9,Medium,42,227,281,Over,1
467,SF,Snow,Fog,4.4,Low,50,205,283,Over,0
468,Infantry,Urban,Clear,8.7,Medium,37,201,181,Efficient,1
469,Infantry,Forest,Overcast,2.8,Medium,59,30,37,Over,1
470,SF,Mountain,Fog,6.8,High,44,148,254,Over,0
471,Infantry,Forest,Clear,5.2,High,23,138,121,Under,1
472,SF,Forest,Fog,5.1,Low,31,122,123,Efficient,1
473,Artillery,Snow,Overcast,4.6,Medium,5,155,23,Under,1
474,SF,Mountain,Rain,7.2,Low,21,112,69,Under,1
475,Artillery,Mountain,Overcast,5.0,High,29,192,199,Efficient,1
476,SF,Mountain,Snow,1.5,Low,43,225,218,Efficient,1
477,Infantry,Mountain,Fog,6.9,Low,23,220,146,Under,1
478,SF,Mountain,Fog,6.6,High,16,171,110,Under,1
479,Infantry,Snow,Snow,5.7,Medium,6,299,63,Under,1
480,SF,Urban,Snow,2.2,Low,26,248,141,Under,1
481,SF,Forest,Rain,2.6,High,64,173,435,Over,0
482,Mechanized,Mountain,Fog,0.7,Medium,39,151,172,Efficient,0
483,Infantry,Urban,Fog,5.4,High,49,260,530,Over,0
484,Mechanized,Urban,Rain,1.8,Low,21,240,115,Under,1
485,Infantry,Forest,Clear,1.1,Medium,11,95,26,Under,1
486,Mechanized,Snow,Rain,7.0,Medium,16,245,132,Under,1
487,Artillery,Desert,Overcast,6.0,High,33,170,182,Efficient,1
488,SF,Desert,Fog,3.8,High,5,128,19,Under,1
489,Infantry,Urban,Snow,4.2,High,19,61,34,Under,1
490,Infantry,Forest,Overcast,0.2,Medium,26,163,109,Under,0
491,SF,Desert,Fog,6.3,Medium,15,179,81,Under,1
492,Infantry,Urban,Rain,3.1,Low,5,275,24,Under,1
493,Infantry,Snow,Overcast,5.2,Medium,39,237,256,Efficient,1
494,Mechanized,Desert,Fog,0.2,Low,35,145,118,Under,0
495,Infantry,Urban,Clear,6.5,High,46,203,307,Over,0
496,Artillery,Urban,Clear,3.0,High,18,229,143,Under,1
497,Artillery,Mountain,Snow,1.7,Medium,46,185,322,Over,0
498,SF,Snow,Fog,3.8,High,57,144,384,Over,0
499,Infantry,Mountain,Clear,3.3,High,38,148,194,Over,0
500,SF,Forest,Rain,6.6,Medium,25,203,157,Under,1
501,Artillery,Mountain,Fog,3.7,Low,37,204,193,Efficient,1
502,Infantry,Mountain,Rain,7.2,Medium,25,162,134,Under,1
503,Infantry,Desert,Rain,5.2,Low,22,30,15,Under,1
504,SF,Urban,Clear,6.3,Medium,45,102,133,Over,0
505,Artillery,Snow,Fog,4.5,Medium,32,217,168,Under,1
506,Infantry,Mountain,Overcast,7.0,High,53,52,98,Over,0
507,SF,Snow,Clear,2.2,Medium,28,251,200,Under,1
508,Artillery,Mountain,Clear,4.7,Medium,29,242,180,Under,1
509,SF,Forest,Fog,3.7,Low,26,182,116,Under,1
510,Mechanized,Mountain,Fog,7.3,High,18,215,133,Under,1
511,Infantry,Desert,Rain,7.5,Low,47,211,204,Efficient,1
512,Mechanized,Urban,Fog,4.5,Low,67,172,301,Over,0
513,Artillery,Forest,Rain,1.9,High,29,97,91,Efficient,1
514,Mechanized,Mountain,Clear,5.4,High,24,238,146,Under,1
515,Mechanized,Snow,Snow,1.2,High,23,264,198,Under,1
516,Artillery,Forest,Overcast,7.8,Medium,24,107,62,Under,1
517,SF,Forest,Clear,3.6,High,59,95,212,Over,0
518,Mechanized,Mountain,Fog,4.4,High,24,171,167,Efficient,1
519,SF,Forest,Overcast,3.1,High,26,142,106,Under,1
520,Mechanized,Snow,Snow,2.7,Low,16,188,70,Under,1
521,SF,Forest,Snow,6.0,Low,39,252,318,Over,0
522,Artillery,Snow,Rain,4.2,Medium,33,45,51,Efficient,1
523,Mechanized,Mountain,Overcast,4.6,Low,17,274,83,Under,1
524,Artillery,Urban,Rain,2.5,Medium,21,155,112,Under,1
525,Mechanized,Forest,Clear,6.2,Low,57,210,268,Over,0
526,Artillery,Urban,Overcast,6.4,High,35,217,296,Over,0
527,Artillery,Snow,Clear,4.1,Low,36,224,172,Under,1
528,Mechanized,Forest,Rain,7.0,Medium,36,183,245,Over,0
529,Mechanized,Desert,Overcast,4.3,Low,55,197,192,Efficient,1
530,Mechanized,Urban,Rain,6.1,High,19,197,139,Under,1
531,Infantry,Forest,Overcast,1.3,Medium,29,142,124,Under,1
532,SF,Urban,Rain,5.2,High,32,74,58,Under,1
533,Infantry,Forest,Snow,4.0,High,9,106,38,Under,1
534,Infantry,Mountain,Rain,4.8,Medium,21,173,104,Under,1
535,Artillery,Urban,Snow,4.7,High,50,132,302,Over,0
536,Mechanized,Desert,Rain,4.8,High,46,132,268,Over,0
537,SF,Desert,Overcast,5.7,Low,49,287,344,Over,1
538,Artillery,Snow,Overcast,3.4,High,26,231,206,Under,1
539,Infantry,Forest,Overcast,5.6,High,28,164,158,Efficient,1
540,Mechanized,Urban,Fog,7.0,High,8,220,68,Under,1
541,Artillery,Snow,Clear,1.7,High,48,154,251,Over,0
542,Mechanized,Urban,Overcast,2.9,Medium,51,186,304,Over,0
543,Artillery,Forest,Snow,3.0,Low,51,206,237,Over,1
544,Mechanized,Desert,Overcast,2.3,High,59,154,278,Over,0
545,Infantry,Mountain,Fog,3.6,High,41,138,218,Over,0
546,SF,Desert,Snow,6.6,Medium,58,253,577,Over,0
547,Infantry,Snow,Fog,7.4,High,31,216,287,Over,0
548,SF,Mountain,Snow,4.7,Medium,8,44,13,Under,1
549,Mechanized,Snow,Rain,3.9,Low,47,139,181,Over,0
550,Artillery,Forest,Clear,6.1,Low,7,133,22,Under,1
551,Infantry,Mountain,Clear,0.2,High,37,142,141,Efficient,0
552,SF,Snow,Fog,2.4,High,49,231,542,Over,0
553,Infantry,Forest,Clear,0.2,High,39,181,274,Over,0
554,SF,Desert,Fog,2.4,Medium,69,96,205,Over,0
555,Infantry,Forest,Fog,3.0,High,5,157,24,Under,1
556,SF,Urban,Fog,7.5,High,33,212,222,Efficient,1
557,SF,Forest,Clear,0.2,Low,35,166,124,Under,0
558,Mechanized,Forest,Fog,3.7,High,14,141,69,Under,1
559,SF,Urban,Clear,5.7,Low,17,199,56,Under,1
560,Mechanized,Snow,Fog,5.3,High,22,277,186,Under,1
561,SF,Snow,Overcast,7.4,Low,18,207,78,Under,1
562,Artillery,Forest,Fog,4.8,High,33,258,349,Over,0
563,Artillery,Urban,Snow,5.2,Low,25,145,117,Under,1
564,Artillery,Urban,Fog,0.8,Medium,39,179,223,Over,0
565,SF,Desert,Rain,2.5,Low,44,178,173,Efficient,1
566,Mechanized,Snow,Fog,0.9,Low,43,187,203,Efficient,0
567,Mechanized,Mountain,Snow,5.6,Low,28,206,162,Under,1
568,SF,Snow,Snow,5.2,High,39,124,224,Over,0
569,Artillery,Snow,Clear,5.1,High,50,218,377,Over,0
570,Artillery,Desert,Overcast,2.7,High,41,82,127,Over,0
571,Mechanized,Mountain,Fog,2.6,Medium,62,99,212,Over,0
572,Artillery,Desert,Clear,4.9,Medium,49,308,424,Over,0
573,Infantry,Mountain,Overcast,3.2,Low,60,149,185,Over,1
574,Mechanized,Forest,Fog,2.5,Medium,5,223,38,Under,1
575,Artillery,Mountain,Rain,3.5,Low,36,281,215,Under,1
576,Mechanized,Desert,Fog,3.2,Low,30,41,23,Under,1
577,Infantry,Snow,Snow,2.8,Low,33,247,162,Under,1
578,Mechanized,Mountain,Snow,2.0,Medium,22,218,134,Under,1
579,Mechanized,Mountain,Rain,5.4,High,40,278,470,Over,0
580,Mechanized,Urban,Clear,7.6,Medium,7,109,20,Under,1
581,Mechanized,Snow,Overcast,4.4,Low,41,267,243,Efficient,1
582,Infantry,Forest,Fog,4.9,Low,23,135,73,Under,1
583,SF,Desert,Snow,5.6,Medium,27,243,204,Under,1
584,Mechanized,Forest,Clear,5.2,Low,41,177,137,Under,1
585,Mechanized,Snow,Rain,2.8,Low,36,226,189,Under,1
586,Artillery,Mountain,Snow,7.9,Medium,50,182,309,Over,0
587,Mechanized,Mountain,Rain,3.0,Medium,20,69,43,Under,1
588,Artillery,Snow,Fog,5.8,Medium,33,30,33,Efficient,1
589,SF,Mountain,Overcast,5.6,Low,48,192,196,Efficient,1
590,Infantry,Mountain,Snow,0.6,Low,40,164,126,Under,0
591,Infantry,Mountain,Snow,3.8,High,41,203,395,Over,0
592,SF,Desert,Fog,4.6,High,51,164,328,Over,0
593,Infantry,Desert,Clear,4.8,Medium,28,301,236,Under,1
594,SF,Urban,Overcast,5.1,High,25,193,204,Efficient,1
595,SF,Forest,Snow,6.0,Low,43,153,202,Over,0
596,SF,Snow,Overcast,4.5,High,32,200,230,Efficient,1
597,Infantry,Snow,Snow,5.2,Low,51,154,210,Over,0
598,Artillery,Snow,Overcast,4.4,Medium,40,185,199,Efficient,1
599,SF,Urban,Rain,2.5,Medium,25,106,80,Under,1
600,Mechanized,Desert,Snow,4.6,Low,40,179,201,Efficient,1
601,Infantry,Urban,Overcast,6.0,High,21,151,137,Efficient,1
602,SF,Snow,Clear,6.7,Medium,49,112,214,Over,0
603,SF,Forest,Rain,5.6,Medium,14,298,134,Under,1
604,Mechanized,Mountain,Rain,7.2,High,53,114,161,Over,0
605,Artillery,Desert,Clear,5.3,High,39,180,210,Over,1
606,Artillery,Desert,Overcast,6.2,Low,32,131,118,Efficient,1
607,Artillery,Urban,Fog,6.4,High,46,197,410,Over,0
608,SF,Desert,Clear,4.1,High,42,103,157,Over,0
609,SF,Snow,Overcast,6.0,High,54,230,418,Over,0
610,SF,Snow,Clear,2.6,Low,54,302,286,Efficient,1
611,Infantry,Urban,Clear,5.2,Low,40,129,144,Efficient,1
612,Mechanized,Snow,Snow,5.7,Medium,21,253,157,Under,1
613,SF,Forest,Overcast,6.6,Low,26,157,101,Under,1
614,Mechanized,Urban,Fog,6.1,Medium,33,270,233,Under,1
615,Mechanized,Forest,Snow,6.6,High,51,311,656,Over,0
616,Artillery,Mountain,Clear,4.3,Medium,28,165,146,Under,1
617,Infantry,Forest,Clear,3.8,Medium,29,88,67,Under,1
618,SF,Mountain,Clear,4.0,High,62,236,472,Over,0
619,Artillery,Mountain,Overcast,5.0,Medium,33,193,173,Under,1
620,Artillery,Forest,Overcast,0.9,Low,25,210,85,Under,0
621,SF,Urban,Snow,7.2,Low,46,159,155,Efficient,1
622,Mechanized,Snow,Fog,4.6,Low,34,126,120,Efficient,1
623,Artillery,Snow,Snow,3.7,Low,14,249,85,Under,1
624,Mechanized,Mountain,Rain,0.2,Medium,50,199,311,Over,0
625,Infantry,Mountain,Clear,4.4,Medium,23,93,68,Under,1
626,Mechanized,Urban,Clear,4.1,High,35,221,312,Over,0
627,Infantry,Desert,Clear,2.7,Medium,33,209,139,Under,1
628,Mechanized,Forest,Snow,3.2,Medium,38,160,176,Efficient,1
629,Artillery,Mountain,Snow,4.4,Medium,5,277,49,Under,1
630,Artillery,Snow,Clear,3.3,High,29,142,150,Efficient,1
631,Infantry,Urban,Snow,5.6,Low,51,169,310,Over,0
632,SF,Forest,Overcast,3.0,Medium,53,226,273,Over,1
633,Infantry,Urban,Overcast,4.8,High,20,184,146,Under,1
634,Infantry,Forest,Snow,6.9,High,48,96,208,Over,0
635,Mechanized,Forest,Clear,4.4,High,23,191,114,Under,1
636,Mechanized,Mountain,Snow,5.2,Low,29,155,110,Under,1
637,Infantry,Urban,Snow,5.1,Medium,30,231,240,Efficient,1
638,Artillery,Urban,Snow,4.5,High,36,189,209,Efficient,1
639,Mechanized,Snow,Rain,4.4,Low,50,185,154,Under,1
640,SF,Snow,Overcast,3.4,High,38,117,108,Efficient,1
641,Mechanized,Mountain,Fog,4.8,High,33,166,226,Over,0
642,Mechanized,Mountain,Fog,3.9,High,49,238,425,Over,0
643,SF,Desert,Rain,7.6,High,22,133,105,Under,1
644,Infantry,Snow,Snow,6.1,High,33,178,227,Over,0
645,SF,Forest,Rain,1.6,Low,49,123,109,Under,1
646,Infantry,Urban,Rain,1.7,Medium,42,108,122,Efficient,1
647,Infantry,Mountain,Clear,4.2,Medium,28,174,97,Under,1
648,Infantry,Urban,Overcast,3.7,Medium,12,190,71,Under,1
649,SF,Urban,Fog,4.1,Medium,39,299,461,Over,0
650,Infantry,Desert,Snow,5.8,Low,11,152,29,Under,1
651,Artillery,Snow,Fog,5.1,Low,31,176,130,Under,1
652,SF,Mountain,Fog,5.1,Low,52,104,130,Over,0
653,Artillery,Urban,Overcast,7.4,High,43,216,319,Over,0
654,Infantry,Mountain,Fog,1.7,High,5,203,44,Under,1
655,Mechanized,Forest,Fog,4.7,High,38,269,378,Over,0
656,Infantry,Desert,Rain,3.3,Medium,30,246,216,Under,1
657,Artillery,Forest,Overcast,7.4,High,15,201,154,Under,1
658,Artillery,Mountain,Clear,0.2,Medium,40,151,152,Efficient,0
659,SF,Mountain,Snow,0.2,High,27,192,252,Over,0
660,Mechanized,Snow,Fog,5.1,Medium,27,173,160,Efficient,1
661,SF,Urban,Snow,6.8,High,36,237,335,Over,0
662,Artillery,Urban,Clear,6.0,High,25,229,180,Under,1
663,Infantry,Forest,Snow,2.9,Low,36,162,150,Efficient,1
664,Mechanized,Desert,Clear,7.5,High,26,92,71,Under,1
665,Infantry,Urban,Rain,2.0,High,26,260,214,Under,1
666,Infantry,Snow,Fog,7.1,Low,49,214,259,Over,1
667,Mechanized,Forest,Clear,2.3,Medium,51,160,226,Over,0
668,SF,Forest,Snow,3.8,Low,9,212,63,Under,1
669,Infantry,Snow,Fog,5.8,Low,46,184,203,Efficient,1
670,Artillery,Desert,Rain,1.6,Medium,55,259,440,Over,0
671,Infantry,Snow,Fog,7.4,High,58,64,116,Over,0
672,Mechanized,Desert,Clear,3.8,Medium,42,156,207,Over,0
673,Mechanized,Snow,Rain,4.8,High,19,275,147,Under,1
674,Mechanized,Snow,Snow,6.8,High,44,213,450,Over,0
675,SF,Mountain,Rain,2.9,Medium,21,286,175,Under,1
676,Infantry,Forest,Rain,6.6,Low,29,106,75,Under,1
677,SF,Snow,Overcast,7.8,Medium,40,244,265,Efficient,1
678,SF,Snow,Rain,3.2,High,22,240,157,Under,1
679,Mechanized,Urban,Rain,7.2,Medium,17,79,34,Under,1
680,Mechanized,Forest,Fog,1.0,Medium,41,162,223,Over,0
681,SF,Urban,Snow,5.3,High,63,173,457,Over,0
682,Infantry,Forest,Fog,2.0,Low,53,82,101,Over,1
683,Artillery,Urban,Fog,6.4,Medium,45,163,255,Over,0
684,SF,Snow,Clear,6.2,High,49,232,408,Over,0
685,Infantry,Snow,Fog,8.7,High,44,156,255,Over,0
686,Mechanized,Mountain,Overcast,7.3,Medium,41,194,307,Over,0
687,Mechanized,Urban,Overcast,4.2,Low,48,194,222,Efficient,1
688,Infantry,Desert,Clear,2.3,Medium,14,179,68,Under,1
689,Artillery,Mountain,Snow,5.6,Low,37,137,126,Efficient,1
690,Mechanized,Urban,Snow,4.4,Low,33,219,218,Efficient,1
691,Mechanized,Urban,Fog,7.6,Low,36,84,71,Under,1
692,Mechanized,Mountain,Fog,0.2,Low,28,180,103,Under,0
693,Infantry,Snow,Fog,8.9,Medium,42,263,470,Over,0
694,SF,Urban,Snow,5.6,High,22,153,142,Efficient,1
695,Mechanized,Snow,Rain,2.9,High,26,136,115,Under,1
696,SF,Mountain,Overcast,6.0,High,25,223,193,Under,1
697,Artillery,Snow,Rain,7.1,High,47,189,395,Over,0
698,Mechanized,Forest,Rain,4.7,High,34,224,317,Over,0
699,Mechanized,Desert,Snow,1.0,High,28,182,228,Over,0
700,Artillery,Urban,Rain,3.9,Medium,29,36,25,Under,1
701,Mechanized,Desert,Clear,6.6,Low,35,250,227,Efficient,1
702,SF,Snow,Fog,5.5,High,59,304,703,Over,0
703,Infantry,Urban,Clear,4.2,Medium,16,257,114,Under,1
704,SF,Snow,Overcast,7.1,High,45,30,56,Over,0
705,Infantry,Forest,Fog,6.0,High,42,207,390,Over,0
706,Infantry,Mountain,Rain,6.1,Low,21,151,83,Under,1
707,SF,Urban,Overcast,3.7,Low,57,114,97,Under,1
708,SF,Forest,Fog,3.5,Low,43,187,199,Efficient,1
709,SF,Forest,Rain,1.1,High,27,171,146,Under,1
710,SF,Urban,Clear,4.0,High,7,210,55,Under,1
711,Artillery,Snow,Fog,6.4,High,38,183,326,Over,0
712,Mechanized,Forest,Rain,4.1,Low,34,112,87,Under,1
713,Infantry,Desert,Clear,5.4,Medium,19,145,69,Under,1
714,SF,Forest,Overcast,6.7,High,19,135,110,Under,1
715,SF,Snow,Overcast,5.2,High,48,77,114,Over,0
716,SF,Snow,Overcast,5.4,High,5,97,13,Under,1
717,Artillery,Desert,Overcast,1.8,Medium,39,167,147,Under,1
718,SF,Forest,Snow,3.9,High,32,265,318,Over,1
719,SF,Snow,Fog,8.0,Medium,42,147,179,Over,1
720,SF,Urban,Fog,4.7,High,30,134,180,Over,0
721,Mechanized,Mountain,Snow,8.3,Medium,39,109,100,Efficient,1
722,Artillery,Mountain,Rain,3.1,High,23,181,133,Under,1
723,SF,Mountain,Rain,5.0,Low,34,250,206,Under,1
724,Infantry,Forest,Overcast,3.7,Low,42,300,277,Efficient,1
725,Infantry,Desert,Clear,5.7,Low,37,197,205,Efficient,1
726,Infantry,Snow,Rain,6.3,Low,40,188,231,Over,1
727,Artillery,Urban,Clear,5.7,High,21,147,82,Under,1
728,Artillery,Urban,Fog,6.6,Low,26,157,76,Under,1
729,Infantry,Forest,Clear,4.5,Medium,26,217,156,Under,1
730,SF,Mountain,Fog,4.1,Low,30,161,109,Under,1
731,Artillery,Forest,Snow,1.0,Low,55,170,192,Efficient,0
732,Infantry,Desert,Snow,5.8,Low,29,178,139,Under,1
733,Infantry,Desert,Overcast,4.8,High,17,144,86,Under,1
734,SF,Snow,Rain,4.4,Low,43,175,159,Efficient,1
735,Mechanized,Snow,Overcast,4.1,Medium,55,58,77,Over,0
736,Artillery,Desert,Fog,4.4,Low,16,212,76,Under,1
737,SF,Desert,Overcast,4.0,Low,64,321,413,Over,0
738,Infantry,Desert,Clear,3.4,Low,41,146,140,Efficient,1
739,Infantry,Forest,Fog,5.0,Medium,50,202,270,Over,0
740,SF,Desert,Snow,5.5,Low,57,231,320,Over,0
741,Artillery,Urban,Rain,3.0,Medium,49,256,349,Over,0
742,Mechanized,Mountain,Fog,3.7,Medium,33,164,169,Efficient,1
743,Mechanized,Desert,Fog,4.1,Low,53,71,98,Over,0
744,Infantry,Mountain,Clear,4.5,Medium,38,196,268,Over,0
745,Artillery,Forest,Rain,4.2,High,51,187,391,Over,0
746,Mechanized,Mountain,Snow,5.8,Low,52,159,243,Over,0
747,Artillery,Forest,Fog,1.2,Low,18,171,71,Under,1
748,Artillery,Urban,Fog,1.5,Medium,46,188,223,Over,1
749,Infantry,Forest,Clear,4.9,Medium,32,201,164,Under,1
750,Mechanized,Forest,Overcast,3.3,Low,37,199,139,Under,1
751,SF,Snow,Snow,6.3,High,36,166,269,Over,0
752,Infantry,Desert,Rain,6.8,Medium,36,203,173,Under,1
753,Mechanized,Desert,Fog,5.0,Medium,57,162,321,Over,0
754,Mechanized,Urban,Fog,2.4,High,14,218,114,Under,1
755,Mechanized,Urban,Snow,6.6,High,9,142,60,Under,1
756,Mechanized,Desert,Overcast,4.9,Low,6,184,21,Under,1
757,Mechanized,Snow,Fog,1.5,High,51,82,136,Over,0
758,Artillery,Desert,Snow,1.7,Low,23,157,85,Under,1
759,Infantry,Snow,Clear,7.5,High,36,214,260,Over,1
760,Artillery,Urban,Overcast,7.2,Medium,33,117,122,Efficient,1
761,SF,Mountain,Rain,0.2,Low,21,160,85,Under,0
762,Mechanized,Urban,Fog,1.8,Low,47,35,51,Over,0
763,Infantry,Urban,Snow,6.8,Low,33,97,81,Under,1
764,Mechanized,Forest,Clear,4.5,High,31,113,60,Under,1
765,Infantry,Forest,Rain,5.9,Medium,38,186,205,Efficient,1
766,Artillery,Forest,Snow,4.4,Low,45,200,246,Over,1
767,Infantry,Forest,Snow,5.8,Low,20,176,105,Under,1
768,SF,Snow,Rain,4.5,Low,48,157,191,Over,1
769,SF,Desert,Clear,3.6,Low,56,157,177,Efficient,1
770,Infantry,Mountain,Clear,6.6,Medium,13,222,103,Under,1
771,Infantry,Urban,Overcast,4.9,High,39,192,215,Efficient,1
772,Infantry,Snow,Fog,5.8,Medium,30,159,148,Efficient,1
773,Infantry,Mountain,Rain,4.8,Low,45,257,236,Efficient,1
774,SF,Snow,Rain,3.5,Medium,16,296,141,Under,1
775,Mechanized,Snow,Rain,7.7,Low,59,105,195,Over,0
776,Infantry,Urban,Clear,5.2,High,10,211,72,Under,1
777,Infantry,Desert,Fog,3.8,High,31,365,434,Over,1
778,SF,Forest,Overcast,7.1,High,41,196,210,Efficient,1
779,SF,Desert,Snow,1.9,Low,24,186,108,Under,1
780,Artillery,Urban,Snow,9.0,Medium,22,176,160,Efficient,1
781,Infantry,Urban,Rain,4.1,High,38,209,288,Over,0
782,Artillery,Urban,Fog,2.0,Low,36,225,187,Under,1
783,SF,Mountain,Clear,8.3,Low,35,105,100,Efficient,1
784,SF,Desert,Fog,3.6,Medium,47,178,249,Over,0
785,Mechanized,Desert,Fog,5.0,High,29,43,59,Over,0
786,Infantry,Snow,Clear,5.9,Low,39,167,118,Under,1
787,Artillery,Snow,Rain,6.9,Medium,27,125,117,Efficient,1
788,SF,Snow,Fog,5.1,High,22,200,219,Efficient,1
789,SF,Urban,Snow,3.2,Medium,30,80,89,Efficient,1
790,Artillery,Desert,Clear,4.9,Medium,27,149,80,Under,1
791,Mechanized,Urban,Overcast,3.7,Low,28,237,128,Under,1
792,SF,Mountain,Rain,5.0,Low,52,139,170,Over,1
793,Infantry,Snow,Clear,7.8,Low,31,65,53,Under,1
794,SF,Urban,Overcast,6.0,Medium,25,195,108,Under,1
795,Infantry,Urban,Overcast,4.9,Low,35,144,92,Under,1
796,Artillery,Mountain,Fog,6.0,Medium,36,168,149,Under,1
797,Infantry,Forest,Fog,6.1,Medium,17,136,65,Under,1
798,Artillery,Desert,Fog,2.3,Low,30,298,178,Under,1
799,Infantry,Forest,Clear,4.6,High,29,86,106,Over,1
800,Artillery,Snow,Clear,9.6,High,32,350,377,Efficient,1
801,Infantry,Urban,Rain,6.9,High,45,156,305,Over,0
802,Mechanized,Mountain,Fog,3.5,Medium,37,191,221,Over,1
803,Infantry,Mountain,Overcast,3.3,Medium,53,145,203,Over,0
804,Infantry,Desert,Snow,3.2,Medium,34,143,143,Efficient,1
805,Mechanized,Forest,Rain,6.2,Low,61,132,224,Over,0
806,SF,Desert,Clear,7.7,Medium,28,216,179,Under,1
807,SF,Urban,Rain,5.7,Low,23,95,54,Under,1
808,Infantry,Desert,Rain,4.8,Low,43,201,192,Efficient,1
809,Mechanized,Mountain,Rain,3.6,High,55,48,92,Over,0
810,Infantry,Mountain,Rain,5.2,High,14,196,114,Under,1
811,Artillery,Snow,Snow,2.9,High,32,230,306,Over,0
812,Artillery,Snow,Fog,0.6,Low,25,103,62,Under,0
813,Infantry,Urban,Overcast,7.8,Low,37,220,164,Under,1
814,SF,Forest,Rain,2.5,Low,35,183,194,Efficient,1
815,SF,Desert,Rain,3.9,Medium,55,275,421,Over,0
816,Infantry,Urban,Rain,5.8,Low,33,128,104,Under,1
817,Infantry,Snow,Fog,7.4,High,55,348,771,Over,0
818,Artillery,Desert,Clear,5.0,High,30,36,48,Over,0
819,SF,Snow,Clear,2.1,Low,48,160,156,Efficient,1
820,Infantry,Desert,Snow,3.9,Low,38,78,73,Efficient,1
821,Artillery,Forest,Clear,3.1,High,60,291,599,Over,0
822,SF,Urban,Rain,4.4,Low,12,164,42,Under,1
823,Mechanized,Desert,Rain,7.0,High,17,169,115,Under,1
824,Artillery,Mountain,Rain,0.2,Medium,62,206,489,Over,0
825,SF,Mountain,Snow,3.7,High,24,179,183,Efficient,1
826,SF,Desert,Rain,3.5,Medium,24,144,107,Under,1
827,Artillery,Desert,Clear,2.0,Low,21,104,41,Under,1
828,Mechanized,Desert,Fog,5.7,Low,52,190,320,Over,0
829,Artillery,Mountain,Fog,1.7,Medium,16,202,126,Under,1
830,SF,Mountain,Overcast,1.9,Low,35,221,180,Under,1
831,Infantry,Desert,Clear,6.2,Medium,31,294,283,Efficient,1
