scenario_id,terrain,weapon,distance_to_target_m,enemy_cover,suppression_needed,visibility_km,recommended_mode
521,Forest,LMG,70,High,1,7.3,Suppressive
522,Forest,Rifle,152,Medium,0,2.6,Single
523,Mountain,MMG,448,Medium,0,5.3,Suppressive
524,Snow,Rifle,49,Medium,1,6.0,Burst
525,Forest,Mortar,496,Low,1,6.6,Smoke
526,BuiltUp,LMG,297,Low,1,6.6,Suppressive
527,Forest,Mortar,160,Medium,1,4.8,Single
528,Snow,MMG,30,Low,0,4.7,Burst
529,Open,Mortar,30,Medium,0,6.2,Burst
530,Forest,Mortar,196,Low,1,5.6,Single
531,Mountain,Rifle,178,High,0,4.3,Single
532,Mountain,Mortar,267,Low,1,5.7,Single
533,Mountain,Rifle,507,Low,1,4.7,Single
534,Open,Rifle,330,High,0,3.8,Single
535,Snow,LMG,230,Medium,0,4.2,Suppressive
536,BuiltUp,MMG,432,Low,1,6.0,Suppressive
537,Snow,MMG,272,Low,0,3.1,Single
538,Open,MMG,489,High,1,7.2,Suppressive
539,Mountain,Rifle,149,High,1,3.9,Single
540,Snow,MMG,77,High,1,0.5,Suppressive
541,BuiltUp,Rifle,30,High,1,6.1,Burst
542,Mountain,LMG,234,Medium,0,0.3,Suppressive
543,BuiltUp,MMG,64,Low,1,3.0,Suppressive
544,Forest,Rifle,62,Low,1,9.8,Burst
545,BuiltUp,MMG,405,Low,1,7.1,Suppressive
546,Mountain,MMG,30,Low,0,7.0,Burst
547,Forest,LMG,265,Medium,1,2.8,Suppressive
548,Mountain,Mortar,237,Low,1,4.6,Single
549,Mountain,MMG,263,Medium,0,7.5,Suppressive
550,Forest,LMG,457,Medium,1,6.3,Suppressive
551,BuiltUp,MMG,126,High,1,7.3,Suppressive
552,Open,MMG,457,High,1,8.6,Suppressive
553,Open,MMG,30,Low,1,6.3,Suppressive
554,Open,MMG,347,Medium,0,2.5,Suppressive
555,Open,Mortar,471,High,0,6.2,Smoke
556,Snow,Mortar,30,Medium,0,4.5,Burst
557,Open,MMG,244,High,1,2.4,Suppressive
558,Forest,MMG,232,Medium,0,6.8,Suppressive
559,Open,LMG,260,Low,0,7.4,Single
560,Mountain,LMG,506,Low,1,4.8,Suppressive
561,Open,Rifle,135,Medium,0,5.6,Single
562,BuiltUp,Mortar,72,High,0,0.9,Single
563,Forest,MMG,261,High,0,7.2,Suppressive
564,Forest,Mortar,418,Low,1,6.6,Smoke
565,Snow,LMG,333,Low,1,5.5,Suppressive
566,Mountain,Mortar,255,Low,0,2.5,Single
567,Forest,Mortar,215,High,0,1.7,Single
568,BuiltUp,MMG,30,High,1,9.1,Suppressive
569,Open,MMG,337,Low,1,3.0,Suppressive
570,Forest,LMG,355,Medium,1,5.3,Suppressive
571,BuiltUp,MMG,146,High,1,3.1,Suppressive
572,Open,LMG,180,Low,0,0.4,Single
573,Snow,LMG,92,Medium,1,5.9,Suppressive
574,Forest,Rifle,380,High,0,6.2,Single
575,Forest,Rifle,195,Medium,1,1.7,Single
576,BuiltUp,Rifle,227,Medium,1,7.2,Single
577,Mountain,Mortar,344,High,1,3.9,Single
578,Snow,Rifle,299,Low,1,2.8,Single
579,Mountain,MMG,334,Medium,0,2.7,Suppressive
580,Forest,MMG,276,Low,0,6.7,Single
581,Mountain,Rifle,279,High,0,1.2,Single
582,Open,Mortar,278,Medium,1,2.5,Single
583,Snow,LMG,317,Medium,0,5.9,Suppressive
584,Mountain,Mortar,325,Medium,1,5.6,Single
585,Open,Mortar,66,Medium,1,3.0,Burst
586,BuiltUp,LMG,160,Medium,0,7.6,Suppressive
587,Mountain,LMG,219,High,1,2.8,Suppressive
588,Snow,LMG,317,Medium,1,4.6,Suppressive
589,Open,MMG,489,High,0,4.3,Suppressive
590,Mountain,LMG,128,Low,1,4.3,Suppressive
591,BuiltUp,LMG,381,High,1,4.6,Suppressive
592,Mountain,Mortar,164,Medium,0,4.5,Single
593,Open,Mortar,455,Low,0,4.5,Suppressive
594,Mountain,Rifle,536,High,1,4.6,Single
595,Snow,Mortar,30,High,0,7.2,Burst
596,Forest,LMG,201,High,1,4.5,Suppressive
597,Open,MMG,30,Medium,0,6.4,Suppressive
598,Open,Mortar,30,Medium,1,5.3,Burst
599,Open,Mortar,30,High,0,5.7,Burst
600,Open,LMG,343,High,0,6.6,Suppressive
601,Mountain,Mortar,315,Low,1,2.7,Single
602,Snow,Mortar,370,Medium,0,6.3,Single
603,BuiltUp,LMG,341,Medium,0,4.6,Suppressive
604,Snow,Mortar,322,Low,1,3.1,Single
605,Open,MMG,266,High,0,6.6,Suppressive
606,Mountain,Rifle,230,High,0,4.1,Single
607,Mountain,Mortar,402,Low,0,5.8,Suppressive
608,Open,MMG,251,High,1,0.3,Suppressive
609,Mountain,Mortar,328,High,0,6.5,Single
610,Open,Rifle,30,Low,1,10.2,Burst
611,Snow,LMG,73,Low,1,5.0,Suppressive
612,Forest,Rifle,397,Low,0,4.5,Single
613,Mountain,Mortar,149,High,1,4.1,Single
614,Open,Rifle,40,Low,1,6.1,Burst
615,Open,Rifle,346,High,1,4.4,Single
616,Mountain,LMG,250,Medium,1,6.3,Suppressive
617,BuiltUp,Mortar,188,Medium,0,8.4,Single
618,Open,Rifle,476,Low,0,6.7,Single
619,Mountain,Rifle,450,High,0,4.7,Single
620,Open,LMG,221,High,1,2.8,Suppressive
621,BuiltUp,MMG,358,High,1,4.2,Suppressive
622,Forest,Mortar,30,Low,0,4.7,Burst
623,BuiltUp,MMG,414,High,1,2.4,Suppressive
624,Snow,MMG,87,High,0,7.2,Suppressive
625,Mountain,LMG,32,High,1,6.1,Suppressive
626,BuiltUp,LMG,30,Medium,0,2.9,Suppressive
627,Forest,Mortar,30,High,0,1.4,Burst
628,Open,MMG,412,Medium,0,6.4,Suppressive
629,Mountain,Rifle,344,High,1,1.7,Single
630,BuiltUp,MMG,135,High,0,5.2,Suppressive
631,Forest,LMG,378,High,1,4.2,Suppressive
632,BuiltUp,Rifle,160,Medium,1,6.6,Single
633,Snow,Rifle,298,High,0,6.6,Single
634,Mountain,LMG,177,Low,0,3.4,Single
635,Open,Rifle,232,High,1,6.8,Single
636,Forest,MMG,113,Medium,1,4.4,Suppressive
637,BuiltUp,LMG,136,Medium,0,5.0,Suppressive
638,Mountain,Mortar,331,Low,0,5.1,Single
639,BuiltUp,LMG,355,Low,1,9.5,Suppressive
640,Mountain,Mortar,187,Low,0,4.8,Single
641,Snow,Mortar,30,Medium,0,1.7,Burst
642,BuiltUp,LMG,620,High,0,3.6,Suppressive
643,Snow,LMG,255,High,0,6.5,Suppressive
644,Forest,Mortar,296,Low,1,4.4,Single
645,Snow,Mortar,60,Low,1,5.0,Burst
646,Mountain,Rifle,432,High,0,4.1,Single
647,Forest,LMG,455,Low,0,0.3,Single
648,BuiltUp,LMG,30,High,1,3.4,Suppressive
649,BuiltUp,Rifle,234,High,1,4.8,Single
650,Mountain,LMG,222,High,1,1.5,Suppressive
651,Open,Rifle,608,High,1,2.6,Single
652,Open,Rifle,466,Medium,1,4.3,Single
653,BuiltUp,LMG,32,High,0,4.3,Suppressive
654,Mountain,MMG,140,Low,0,5.8,Single
655,Open,Mortar,116,Low,1,4.4,Burst
656,Snow,LMG,305,Low,1,5.7,Suppressive
657,BuiltUp,MMG,485,Low,0,3.6,Single
658,Snow,Rifle,266,Medium,1,5.4,Single
659,Mountain,MMG,325,High,1,7.9,Suppressive
660,Snow,LMG,150,High,0,5.6,Suppressive
661,Open,LMG,324,Low,0,4.5,Single
662,Open,MMG,179,Low,0,3.1,Single
663,Forest,LMG,30,Low,0,5.2,Burst
664,BuiltUp,Mortar,314,High,1,4.6,Single
665,Mountain,MMG,248,Medium,0,6.1,Suppressive
666,BuiltUp,Rifle,85,Medium,1,1.4,Burst
667,Snow,MMG,496,Medium,1,4.6,Suppressive
668,Mountain,MMG,135,Medium,1,5.8,Suppressive
669,Mountain,MMG,341,Low,1,5.3,Suppressive
670,Open,MMG,195,High,0,4.3,Suppressive
671,Snow,Rifle,481,Low,1,4.3,Single
672,Open,Rifle,214,Medium,1,2.8,Single
673,Open,Rifle,30,Low,1,5.8,Burst
674,Forest,MMG,371,Medium,0,5.8,Suppressive
675,Open,Mortar,480,High,0,2.2,Smoke
676,BuiltUp,Mortar,185,Medium,0,6.5,Single
677,Mountain,Rifle,351,Low,0,3.7,Single
678,Open,Mortar,269,High,0,4.2,Single
679,BuiltUp,Mortar,192,Medium,1,8.7,Single
680,Snow,Mortar,376,Medium,0,8.2,Single
681,Mountain,Mortar,129,High,1,2.1,Single
682,Snow,Mortar,254,Low,0,2.4,Single
683,BuiltUp,LMG,288,High,1,2.9,Suppressive
684,Snow,Rifle,283,Low,0,8.2,Single
685,Snow,MMG,133,Medium,1,3.8,Suppressive
686,Snow,Mortar,558,Medium,0,2.1,Suppressive
687,Open,LMG,439,High,1,7.5,Suppressive
688,Open,MMG,398,Medium,1,6.2,Suppressive
689,Open,LMG,464,High,1,9.5,Suppressive
690,Mountain,Mortar,260,Medium,1,6.2,Single
691,BuiltUp,Mortar,194,Medium,1,4.9,Single
692,Open,Mortar,86,Low,1,5.5,Burst
693,Snow,Mortar,144,High,0,4.1,Single
694,Snow,MMG,97,High,0,7.6,Suppressive
695,Snow,MMG,170,Medium,1,7.7,Suppressive
696,Snow,LMG,291,Low,1,1.8,Suppressive
697,Forest,Rifle,387,Low,1,6.9,Single
698,Mountain,Mortar,382,High,1,2.9,Single
699,BuiltUp,LMG,74,High,1,9.8,Suppressive
700,BuiltUp,LMG,353,Medium,1,8.0,Suppressive
701,Open,LMG,421,High,1,2.7,Suppressive
702,Forest,Mortar,211,Medium,0,5.5,Single
703,BuiltUp,Mortar,429,Low,1,7.0,Smoke
704,Mountain,LMG,381,High,1,3.8,Suppressive
705,Snow,Mortar,60,Low,0,2.3,Burst
706,Open,LMG,578,Low,0,5.2,Single
707,Mountain,MMG,142,Medium,1,4.7,Suppressive
708,BuiltUp,Mortar,393,Low,0,3.2,Single
709,Forest,MMG,388,Medium,0,7.5,Suppressive
710,Open,Rifle,66,Medium,0,2.4,Burst
711,BuiltUp,Mortar,276,Low,1,4.8,Single
712,Open,Rifle,386,Low,1,5.4,Single
713,BuiltUp,LMG,64,Medium,0,5.6,Suppressive
714,Snow,Mortar,264,Medium,1,7.3,Single
715,Forest,Mortar,398,Low,1,4.5,Single
716,Snow,Mortar,408,Medium,1,0.3,Smoke
717,BuiltUp,Rifle,190,Medium,0,4.2,Single
718,Mountain,Rifle,481,High,0,6.5,Single
719,Snow,LMG,445,High,0,4.7,Suppressive
720,Mountain,MMG,286,High,0,4.7,Suppressive
721,BuiltUp,MMG,151,High,1,6.1,Suppressive
722,Forest,Rifle,75,High,1,6.3,Burst
723,Mountain,Mortar,306,Medium,1,1.4,Single
724,BuiltUp,MMG,469,Medium,0,5.0,Suppressive
725,Mountain,MMG,227,High,0,4.6,Suppressive
726,Snow,Rifle,121,Low,1,5.2,Single
727,BuiltUp,LMG,373,High,0,1.1,Suppressive
728,Snow,Rifle,276,Low,0,7.6,Single
729,Open,Rifle,327,Medium,1,5.0,Single
730,BuiltUp,Mortar,171,Low,0,5.8,Single
731,Mountain,Rifle,194,Medium,0,8.5,Single
732,Open,Mortar,170,Low,1,5.9,Single
733,Snow,LMG,324,Medium,0,1.9,Suppressive
734,Snow,Mortar,199,Medium,1,4.8,Single
735,Mountain,LMG,338,High,1,6.3,Suppressive
736,Open,LMG,156,Medium,0,5.1,Suppressive
737,Forest,LMG,324,High,1,8.4,Suppressive
738,Mountain,Rifle,355,High,0,3.3,Single
739,Snow,Mortar,299,High,0,7.5,Single
740,BuiltUp,MMG,387,Low,0,6.7,Single
741,Open,Rifle,177,Low,0,5.2,Single
742,Forest,LMG,353,Medium,0,5.7,Suppressive
743,BuiltUp,MMG,285,High,0,3.0,Suppressive
744,Open,Rifle,128,High,0,4.4,Single
745,Mountain,MMG,30,Medium,0,6.2,Suppressive
746,Mountain,LMG,30,High,0,4.7,Suppressive
747,Open,MMG,30,Medium,1,5.1,Suppressive
748,Forest,MMG,313,High,1,7.0,Suppressive
749,Open,LMG,201,Low,0,1.2,Single
750,BuiltUp,MMG,263,Medium,0,5.7,Suppressive
751,BuiltUp,Rifle,222,Medium,0,8.6,Single
752,Mountain,MMG,337,Low,1,4.2,Suppressive
753,Open,Mortar,341,Medium,1,2.5,Single
754,Mountain,Rifle,256,Low,0,4.2,Single
755,Forest,MMG,265,High,0,2.0,Suppressive
756,BuiltUp,Mortar,271,Low,0,5.5,Single
757,Snow,Mortar,458,Low,1,4.9,Smoke
758,Snow,Mortar,30,Medium,0,5.6,Burst
759,Open,MMG,149,High,1,4.7,Suppressive
760,Open,LMG,379,Low,1,5.4,Suppressive
761,Snow,Mortar,416,High,0,5.9,Smoke
762,Open,LMG,314,Low,1,2.6,Suppressive
763,BuiltUp,Rifle,222,Medium,0,5.7,Single
764,Forest,LMG,529,Low,1,7.9,Suppressive
765,Forest,LMG,276,Low,1,3.1,Suppressive
766,Mountain,LMG,254,High,0,5.6,Suppressive
767,BuiltUp,LMG,449,Low,0,7.6,Single
768,Open,LMG,321,Medium,1,2.7,Suppressive
769,Open,Rifle,390,Medium,1,6.6,Single
770,Mountain,Rifle,408,Low,1,4.6,Single
771,Mountain,LMG,194,Low,0,7.0,Single
772,Open,LMG,515,High,0,3.4,Suppressive
773,Open,Mortar,30,High,0,5.0,Burst
774,BuiltUp,Rifle,30,Medium,0,2.0,Burst
775,Mountain,MMG,147,High,1,5.9,Suppressive
776,BuiltUp,Rifle,186,Low,1,5.9,Single
777,Open,MMG,304,Medium,1,6.1,Suppressive
778,Snow,Mortar,146,High,1,6.0,Single
779,Snow,LMG,248,Medium,1,4.8,Suppressive
780,Open,Mortar,219,Low,0,2.0,Single
781,Mountain,LMG,550,High,0,7.0,Suppressive
782,Snow,Rifle,129,Low,1,4.9,Single
783,Mountain,LMG,30,Low,1,5.8,Suppressive
784,Snow,MMG,417,Medium,1,4.6,Suppressive
785,Mountain,MMG,142,Medium,1,8.9,Suppressive
786,Snow,Mortar,236,Medium,1,3.9,Single
787,Mountain,Rifle,153,High,1,3.8,Single
788,BuiltUp,MMG,360,High,1,1.9,Suppressive
789,Mountain,Mortar,43,Medium,1,5.2,Burst
790,BuiltUp,Rifle,30,High,0,8.7,Burst
791,BuiltUp,Rifle,444,High,1,5.3,Single
792,Open,Mortar,287,Medium,1,5.5,Single
793,BuiltUp,MMG,410,Low,0,6.9,Single
794,Forest,MMG,439,High,0,5.3,Suppressive
795,BuiltUp,Mortar,112,High,1,7.4,Burst
796,Mountain,MMG,259,Low,0,7.7,Single
797,BuiltUp,Mortar,325,Low,0,3.8,Single
798,Mountain,MMG,233,Low,1,2.1,Suppressive
799,Mountain,MMG,203,Medium,0,6.4,Suppressive
800,Forest,Mortar,217,Low,1,5.6,Single
801,BuiltUp,Mortar,412,Medium,1,2.9,Smoke
802,BuiltUp,MMG,211,Low,1,3.6,Suppressive
803,Snow,Mortar,340,Low,0,3.6,Single
804,Snow,MMG,302,Medium,0,5.3,Suppressive
805,Open,LMG,105,Medium,1,7.0,Suppressive
806,Mountain,Rifle,295,Low,1,7.1,Single
807,Forest,Rifle,30,Low,0,6.6,Burst
808,Snow,MMG,310,Low,1,4.4,Suppressive
809,BuiltUp,Rifle,383,High,0,9.4,Single
810,Open,MMG,418,Low,0,5.1,Single
811,Forest,Mortar,107,Medium,0,4.2,Burst
812,BuiltUp,LMG,169,High,0,2.3,Suppressive
813,BuiltUp,Rifle,292,Medium,0,4.3,Single
814,Mountain,Rifle,178,High,0,5.9,Single
815,Mountain,Mortar,30,High,1,1.8,Burst
816,Snow,LMG,168,Medium,1,3.1,Suppressive
817,Snow,LMG,292,High,0,4.1,Suppressive
818,BuiltUp,LMG,410,Medium,0,3.4,Suppressive
819,BuiltUp,Mortar,503,Low,1,3.3,Smoke
820,Snow,Rifle,268,High,1,7.2,Single
821,Snow,Rifle,334,Medium,1,1.7,Single
822,BuiltUp,LMG,394,High,1,5.4,Suppressive
823,Forest,Mortar,30,Medium,1,6.0,Burst
824,BuiltUp,Mortar,97,Low,1,4.0,Burst
825,Forest,Mortar,265,Low,1,4.5,Single
826,Forest,LMG,483,High,1,4.9,Suppressive
827,BuiltUp,Mortar,344,High,0,6.3,Single
828,Open,LMG,299,Medium,1,8.1,Suppressive
829,Snow,LMG,215,Medium,0,2.4,Suppressive
830,Mountain,LMG,314,High,1,3.2,Suppressive
831,BuiltUp,MMG,160,Medium,1,3.3,Suppressive
832,Forest,LMG,133,Medium,1,5.0,Suppressive
833,BuiltUp,Mortar,146,Medium,1,4.2,Single
834,Snow,MMG,451,High,1,6.3,Suppressive
835,Forest,Rifle,123,Low,0,3.7,Single
836,Mountain,Rifle,190,Low,1,3.2,Single
837,Mountain,Mortar,320,Medium,0,3.5,Single
838,Mountain,Mortar,117,High,0,5.2,Burst
839,Open,Mortar,283,Medium,1,6.9,Single
840,Forest,Mortar,283,Low,0,4.9,Single
841,Forest,MMG,156,Medium,1,3.9,Suppressive
842,Open,Mortar,211,Low,1,2.9,Single
843,Forest,LMG,108,High,1,7.9,Suppressive
844,Open,Rifle,457,Medium,0,1.5,Single
845,BuiltUp,Mortar,288,High,1,4.6,Single
846,Snow,LMG,92,Medium,0,6.5,Suppressive
847,Mountain,Mortar,268,Medium,1,4.6,Single
848,Open,LMG,275,Medium,1,3.9,Suppressive
849,Open,MMG,30,Medium,0,6.1,Suppressive
850,Open,Rifle,451,Medium,0,2.8,Single
851,BuiltUp,Rifle,101,High,0,1.5,Burst
852,Open,MMG,563,High,0,5.7,Suppressive
853,Snow,LMG,369,Low,0,3.0,Single
854,Snow,Mortar,80,Medium,0,5.3,Burst
855,Mountain,LMG,202,Low,1,4.8,Suppressive
856,BuiltUp,Rifle,388,High,0,5.5,Single
857,Snow,MMG,214,Low,1,4.5,Suppressive
858,Forest,MMG,426,High,1,6.1,Suppressive
859,Forest,LMG,193,Medium,1,3.6,Suppressive
860,Forest,LMG,238,Low,1,6.6,Suppressive
861,Open,MMG,392,Low,1,2.6,Suppressive
862,Open,Rifle,340,Low,0,7.3,Single
863,Forest,Mortar,111,Low,1,9.1,Burst
864,Mountain,Mortar,315,Medium,1,5.2,Single
865,Mountain,LMG,275,High,1,8.1,Suppressive
866,Open,MMG,113,High,0,8.7,Suppressive
867,Forest,MMG,41,Medium,0,4.4,Suppressive
868,Mountain,MMG,30,High,0,5.1,Suppressive
869,Open,Rifle,205,Low,0,3.4,Single
870,Forest,LMG,241,Medium,1,3.5,Suppressive
871,BuiltUp,LMG,325,High,0,5.5,Suppressive
872,Forest,LMG,373,Medium,1,1.7,Suppressive
873,Forest,Rifle,187,Medium,0,6.7,Single
874,Snow,LMG,237,High,0,5.3,Suppressive
875,Snow,Mortar,136,High,0,6.4,Single
876,BuiltUp,LMG,263,Medium,0,4.6,Suppressive
877,BuiltUp,LMG,395,Medium,1,6.3,Suppressive
878,Forest,LMG,265,High,0,5.5,Suppressive
879,Mountain,Rifle,424,Medium,1,6.0,Single
880,BuiltUp,Mortar,392,High,1,6.8,Single
881,Forest,Mortar,468,Medium,1,2.5,Smoke
882,Open,MMG,269,Medium,1,3.6,Suppressive
883,Snow,MMG,170,Medium,1,9.6,Suppressive
884,Mountain,Mortar,343,High,1,5.4,Single
885,Forest,LMG,194,Low,1,1.6,Suppressive
886,Open,LMG,338,High,0,1.6,Suppressive
887,Snow,LMG,150,Medium,1,4.9,Suppressive
888,Open,Rifle,125,Low,0,4.0,Single
889,Forest,LMG,432,Low,0,3.4,Single
890,BuiltUp,Rifle,98,Medium,1,8.6,Burst
891,Snow,Mortar,403,High,1,4.3,Smoke
892,Open,LMG,337,Low,0,6.6,Single
893,BuiltUp,LMG,264,Low,0,5.5,Single
894,Mountain,MMG,30,High,1,4.4,Suppressive
895,Forest,Mortar,472,High,1,2.7,Smoke
896,Forest,LMG,109,Low,0,6.5,Burst
897,Snow,Rifle,392,High,0,0.3,Single
898,Open,Mortar,146,Low,1,6.7,Single
899,Mountain,MMG,134,Medium,0,5.3,Suppressive
900,Snow,Mortar,350,High,0,6.2,Single
901,Snow,Rifle,330,Low,1,5.0,Single
902,Open,MMG,78,High,0,2.5,Suppressive
903,Mountain,Rifle,465,High,1,5.8,Single
904,Open,Mortar,219,Low,1,6.7,Single
905,Forest,MMG,260,Medium,1,4.0,Suppressive
906,BuiltUp,Rifle,205,Low,0,6.3,Single
907,Forest,Mortar,84,High,1,5.6,Burst
908,Forest,Rifle,360,Low,0,5.9,Single
909,Snow,LMG,293,High,1,3.3,Suppressive
910,Forest,Mortar,129,Low,1,7.6,Single
911,Mountain,MMG,391,Medium,0,5.6,Suppressive
912,Forest,MMG,258,Medium,0,6.7,Suppressive
913,Mountain,LMG,261,Medium,0,4.2,Suppressive
914,Open,Rifle,516,Medium,1,7.0,Single
915,Snow,Rifle,30,Low,0,4.2,Burst
916,Mountain,MMG,30,Medium,1,3.2,Suppressive
917,Forest,Rifle,40,Low,0,8.5,Burst
918,Snow,Mortar,304,High,1,0.3,Single
919,Snow,Mortar,196,High,1,11.0,Single
920,Mountain,MMG,208,High,1,6.4,Suppressive
921,Mountain,Mortar,108,Medium,1,4.4,Burst
922,BuiltUp,MMG,499,Medium,0,5.7,Suppressive
923,BuiltUp,Rifle,550,Medium,0,6.4,Single
924,Snow,Rifle,384,High,1,4.3,Single
925,BuiltUp,Rifle,30,High,1,9.1,Burst
926,Forest,LMG,176,High,0,8.0,Suppressive
927,Open,MMG,374,High,0,10.5,Suppressive
928,Snow,Mortar,243,Low,0,2.6,Single
929,Open,Rifle,385,Low,0,5.4,Single
930,BuiltUp,LMG,437,Medium,0,2.2,Suppressive
931,Mountain,Mortar,536,Medium,0,2.8,Suppressive
932,Snow,Mortar,151,High,1,4.3,Single
933,BuiltUp,Mortar,262,Low,0,4.4,Single
934,Forest,Rifle,183,Low,0,5.7,Single
935,Snow,Mortar,30,Medium,1,4.8,Burst
936,Snow,MMG,355,Low,0,6.6,Single
937,Mountain,LMG,334,Medium,0,5.6,Suppressive
938,Snow,Mortar,167,High,0,8.3,Single
939,Mountain,Mortar,30,High,1,6.7,Burst
940,BuiltUp,MMG,192,Medium,0,2.6,Suppressive
941,Forest,Mortar,359,High,1,4.7,Single
942,Forest,Rifle,450,High,0,4.8,Single
943,Snow,Rifle,143,Low,1,5.9,Single
944,Snow,Rifle,416,Low,0,7.2,Single
945,BuiltUp,Mortar,343,Low,0,5.6,Single
946,Mountain,LMG,311,Low,0,6.2,Single
947,Forest,LMG,55,Low,1,2.7,Suppressive
948,Mountain,Mortar,62,Medium,0,4.1,Burst
949,BuiltUp,LMG,125,Medium,0,1.2,Suppressive
950,Forest,LMG,201,Low,1,5.9,Suppressive
951,Forest,Mortar,520,High,1,6.7,Smoke
952,Open,Rifle,150,High,1,2.4,Single
953,BuiltUp,Mortar,365,Medium,0,5.3,Single
954,BuiltUp,Rifle,180,Medium,1,4.8,Single
955,Open,Rifle,320,Medium,0,8.4,Single
956,Mountain,LMG,240,High,1,3.2,Suppressive
957,Open,LMG,276,Medium,1,6.8,Suppressive
958,BuiltUp,Rifle,305,High,0,7.3,Single
959,Mountain,Rifle,212,Medium,0,4.6,Single
960,Forest,LMG,306,High,0,5.6,Suppressive
961,Open,MMG,435,Medium,0,7.2,Suppressive
962,Mountain,Rifle,136,Medium,1,2.8,Single
963,Mountain,Rifle,427,High,1,4.1,Single
964,Mountain,Rifle,210,Medium,1,5.4,Single
965,Open,LMG,194,Low,0,9.1,Single
966,Forest,Mortar,354,High,0,4.2,Single
967,Mountain,Rifle,198,Medium,1,4.5,Single
968,Open,Rifle,297,High,1,8.1,Single
969,BuiltUp,Rifle,283,Medium,0,6.3,Single
970,Open,Mortar,30,Low,1,9.4,Burst
971,Open,Mortar,312,Medium,1,7.2,Single
972,Open,Rifle,33,Medium,1,4.7,Burst
973,Mountain,Rifle,45,Low,0,4.4,Burst
974,Open,MMG,304,High,1,3.4,Suppressive
975,BuiltUp,Mortar,330,Medium,0,2.4,Single
976,Mountain,MMG,430,Medium,1,5.7,Suppressive
977,BuiltUp,Rifle,86,Low,0,6.3,Burst
978,Snow,Rifle,138,High,1,6.5,Single
979,Open,Rifle,319,High,1,4.8,Single
980,Mountain,Rifle,433,Low,1,8.9,Single
981,Mountain,LMG,278,Low,0,2.3,Single
982,Open,LMG,118,Medium,1,2.1,Suppressive
983,Forest,LMG,475,Low,1,3.4,Suppressive
984,Forest,MMG,210,Low,0,5.0,Single
985,BuiltUp,Mortar,215,Low,0,2.8,Single
986,Open,Rifle,34,High,1,7.7,Burst
987,Open,Mortar,358,Low,1,3.5,Single
988,Snow,LMG,377,Medium,1,3.2,Suppressive
989,Forest,Rifle,144,Medium,1,7.1,Single
990,Forest,Rifle,512,Medium,1,5.4,Single
991,Open,MMG,161,Low,0,6.6,Single
992,BuiltUp,Mortar,343,High,1,4.9,Single
993,Open,MMG,283,Low,0,5.5,Single
994,BuiltUp,LMG,30,Low,0,2.1,Burst
995,Forest,Mortar,331,Medium,1,4.7,Single
996,Snow,LMG,318,Low,0,2.9,Single
997,Mountain,MMG,30,High,1,8.9,Suppressive
998,Forest,MMG,478,Medium,0,7.6,Suppressive
999,BuiltUp,Rifle,318,High,0,3.7,Single
1000,Open,Mortar,435,High,1,4.6,Smoke
1001,Forest,Mortar,30,High,1,4.7,Burst
1002,Snow,Rifle,188,Low,0,9.3,Single
1003,BuiltUp,Mortar,427,Low,1,5.8,Smoke
1004,Open,LMG,30,Low,1,4.1,Suppressive
1005,Mountain,LMG,192,Low,0,5.3,Single
1006,BuiltUp,MMG,310,Medium,0,1.9,Suppressive
1007,Open,LMG,30,Low,0,4.9,Burst
1008,Mountain,Mortar,51,Medium,1,2.8,Burst
1009,Open,Rifle,457,High,1,1.3,Single
1010,Mountain,MMG,258,Medium,1,9.0,Suppressive
1011,Mountain,Rifle,426,Low,0,4.9,Single
1012,Mountain,MMG,277,Medium,1,3.5,Suppressive
1013,Open,MMG,618,Low,0,1.6,Single
1014,Mountain,Rifle,315,Low,0,4.6,Single
1015,BuiltUp,LMG,440,Medium,0,4.7,Suppressive
1016,Snow,LMG,213,Medium,0,6.5,Suppressive
1017,Snow,LMG,281,High,0,3.1,Suppressive
1018,Mountain,LMG,346,High,0,3.9,Suppressive
1019,Snow,Rifle,371,High,0,3.2,Single
1020,Snow,Mortar,244,High,1,4.6,Single
1021,Mountain,MMG,250,High,0,1.0,Suppressive
1022,Mountain,Rifle,325,Medium,1,3.4,Single
1023,BuiltUp,LMG,325,High,1,6.3,Suppressive
1024,Forest,LMG,96,Medium,1,2.5,Suppressive
1025,Open,Rifle,283,High,1,7.0,Single
1026,Mountain,MMG,298,Low,1,6.7,Suppressive
1027,Mountain,Rifle,103,High,0,6.9,Burst
1028,Snow,Rifle,385,Low,1,5.0,Single
1029,BuiltUp,Mortar,311,Medium,1,4.8,Single
1030,Snow,Rifle,599,High,1,5.6,Single
1031,Mountain,Mortar,246,Medium,0,7.6,Single
1032,Mountain,MMG,420,High,1,7.5,Suppressive
1033,Snow,Rifle,330,Medium,1,1.7,Single
1034,Mountain,Rifle,538,High,1,3.3,Single
1035,Forest,LMG,104,High,1,2.9,Suppressive
1036,Open,Rifle,175,Low,0,6.5,Single
1037,Open,LMG,109,Medium,1,3.6,Suppressive
1038,Open,LMG,238,Medium,0,4.6,Suppressive
1039,Forest,LMG,81,Medium,0,8.4,Suppressive
1040,Mountain,MMG,30,Medium,1,7.2,Suppressive
1041,Snow,Mortar,30,Medium,1,7.8,Burst
1042,BuiltUp,LMG,30,Low,0,3.6,Burst
1043,Mountain,Rifle,348,High,1,0.3,Single
