post_id,altitude_m,temp_c,wind_kph,snowfall_cm_7d,acclimatized_days,shelter_quality_1to5,supply_gap_days,med_facility_score_1to5,risk_level,casualty_occurred
512,4962,-11.5,16,15,7,2,3,3,Medium,0
513,3513,-5.2,14,46,16,4,5,4,Low,1
514,3021,-21.6,36,36,9,1,4,5,High,1
515,3664,-27.8,23,0,23,3,1,5,Low,1
516,3007,-11.8,52,68,4,2,2,3,High,0
517,4070,-17.9,21,44,13,4,0,2,Low,1
518,3599,-1.7,23,22,8,4,5,1,Medium,0
519,3642,-12.6,31,42,6,1,4,2,High,0
520,4555,-10.5,30,38,9,5,0,2,Medium,0
521,3128,-14.2,27,39,11,3,8,1,High,0
522,3152,-16.6,26,12,10,2,2,5,Low,0
523,4015,-11.6,60,31,13,4,3,2,High,0
524,3246,-4.9,44,36,13,3,2,4,Low,1
525,4462,-14.2,36,54,17,2,3,4,High,0
526,4100,-14.7,15,32,3,2,3,3,Medium,0
527,3277,-6.4,27,38,2,4,0,3,Low,0
528,2413,-23.8,34,11,9,3,5,1,Medium,1
529,2628,-3.7,35,31,6,2,1,1,Low,1
530,3210,-17.6,40,47,14,4,4,3,Medium,0
531,3742,-5.4,21,16,4,3,2,2,Low,1
532,4161,-9.9,27,22,7,3,3,5,Low,0
533,3369,-26.6,20,10,8,4,3,4,Medium,1
534,2966,-11.9,41,2,18,3,3,1,Low,0
535,3415,-2.8,34,12,20,5,4,3,Low,0
536,3512,-14.1,22,41,4,2,1,4,Medium,0
537,4282,-13.5,30,25,0,2,5,1,High,1
538,4249,-17.4,28,12,7,3,0,1,Medium,0
539,2898,-3.6,19,73,9,4,1,2,Low,0
540,3772,-15.2,37,15,9,1,4,1,High,0
541,2987,0.5,28,42,9,3,5,5,Low,0
542,3004,-3.9,22,36,14,1,3,1,Medium,1
543,4123,-2.7,19,34,7,3,5,5,Low,0
544,3380,-11.4,36,0,11,1,1,2,Medium,0
545,3883,-15.4,30,55,13,3,0,5,Low,0
546,3820,-8.7,21,36,11,4,4,4,Low,0
547,3452,-1.1,23,48,13,1,3,1,Medium,0
548,3699,0.4,28,52,1,5,4,3,Low,0
549,3622,-25.0,28,64,10,4,0,3,Medium,0
550,2809,2.0,29,10,11,3,2,5,Low,0
551,3792,-10.2,10,15,9,1,6,2,High,1
552,3076,-6.5,29,18,7,2,2,5,Low,0
553,2858,-18.3,15,12,12,4,5,5,Low,0
554,4012,-18.7,42,56,10,1,4,5,High,0
555,3145,-22.1,38,9,9,4,2,4,Low,1
556,4166,-0.1,39,22,8,1,5,4,High,0
557,4159,-16.8,5,0,8,2,3,5,Medium,0
558,3213,-12.6,25,44,6,5,3,2,Medium,0
559,4141,-14.1,27,27,7,2,2,1,High,1
560,3266,-19.1,33,47,5,3,3,3,Medium,0
561,3458,-13.4,37,44,8,4,0,4,Low,0
562,3796,-11.4,40,0,11,5,4,1,Medium,1
563,4723,-3.3,5,33,14,4,3,4,Low,0
564,4064,-19.4,19,8,9,1,1,4,Medium,0
565,3465,-16.1,28,32,9,3,0,4,Low,0
566,3561,-8.1,36,18,10,3,2,5,Low,0
567,2550,-11.7,36,66,14,4,3,5,Low,0
568,4102,-11.6,32,83,8,3,3,4,High,1
569,4038,-18.8,21,25,12,4,3,4,Low,1
570,3670,-6.6,22,31,11,1,4,3,Medium,0
571,3930,-2.1,21,0,6,1,0,1,Medium,1
572,2284,-2.8,18,0,13,4,2,1,Low,0
573,2850,-13.4,18,37,0,2,3,2,Medium,0
574,4580,-30.1,17,29,15,2,3,2,High,1
575,3345,-10.4,31,38,4,1,4,2,High,0
576,3954,-11.3,29,14,9,5,2,5,Low,0
577,3052,-19.1,18,36,14,2,3,5,Low,0
578,3234,-17.8,10,0,7,4,1,3,Low,0
579,4612,-19.0,24,17,11,1,3,5,High,0
580,3405,-10.1,42,39,14,3,1,2,Low,0
581,3814,-17.8,28,63,19,3,4,4,Medium,0
582,3578,-10.8,36,27,9,2,5,2,High,1
583,3647,2.0,29,41,10,5,3,3,Low,1
584,3627,-13.3,27,16,10,2,5,4,Medium,1
585,2313,-20.1,13,38,8,5,2,5,Low,0
586,3786,-22.2,23,20,3,2,0,4,Medium,0
587,3177,-9.7,22,69,4,3,2,3,Low,1
588,4567,2.0,42,23,9,5,1,5,Low,0
589,3036,-18.3,29,26,11,3,2,1,Medium,1
590,3217,-27.1,40,45,16,4,0,2,Medium,1
591,4967,-0.0,39,40,8,4,3,2,High,0
592,3934,2.0,19,22,17,1,3,3,Low,0
593,2909,-6.7,28,38,3,3,4,3,Low,0
594,3605,-9.0,44,8,11,3,4,2,Medium,0
595,2767,-11.5,33,34,8,1,2,4,Medium,0
596,3654,-7.2,33,40,3,4,4,1,High,0
597,3017,-7.6,37,21,1,4,4,1,Medium,0
598,4618,-10.0,32,22,7,5,2,3,Medium,0
599,3752,-18.7,33,17,8,5,3,3,Medium,0
600,3816,-10.1,31,1,5,4,6,4,Medium,0
601,4069,-12.7,24,38,13,2,3,3,Medium,0
602,4136,-17.6,17,20,7,3,1,1,Medium,0
603,3086,-10.1,9,41,5,5,0,2,Low,0
604,3556,-15.4,24,26,8,2,0,1,Medium,0
605,3232,-11.5,32,42,6,5,0,4,Low,1
606,4756,-8.8,30,0,18,1,2,2,Medium,0
607,2128,-7.8,34,7,8,3,2,2,Low,0
608,3154,-15.2,26,13,5,5,1,1,Medium,0
609,3452,-8.8,55,53,18,4,1,2,Low,1
610,3582,-7.2,48,38,13,1,1,2,Medium,0
611,3569,-5.2,12,24,10,1,0,3,Low,0
612,3472,-9.9,34,20,6,4,2,2,Low,0
613,3402,-7.8,37,41,13,1,4,4,Medium,1
614,3644,-14.9,6,18,2,3,1,2,Low,0
615,3776,2.0,29,44,13,5,5,3,Low,1
616,4574,-12.4,33,25,11,1,3,5,High,1
617,4569,-4.2,27,55,14,3,4,5,Medium,0
618,3680,-15.4,31,11,0,4,3,4,Medium,0
619,3202,-9.4,28,27,5,5,4,4,Low,1
620,3244,-9.6,35,11,5,4,0,2,Low,0
621,2711,-8.3,43,62,4,5,4,2,Medium,1
622,4071,-17.9,35,30,12,1,3,5,High,1
623,3473,-9.3,39,9,8,1,5,5,High,0
624,3762,-15.4,17,11,5,5,2,1,Medium,0
625,3700,-6.3,48,40,4,3,6,5,High,0
626,3081,-18.1,31,0,5,3,4,5,Low,0
627,3007,-9.9,24,26,14,3,1,4,Low,0
628,3228,-12.2,32,12,9,2,5,1,High,1
629,3791,1.0,22,26,14,3,0,1,Low,0
630,3451,-4.2,29,32,23,1,0,2,Low,1
631,2440,-2.4,31,28,9,2,5,2,Low,0
632,2885,-17.4,21,24,2,3,3,1,Medium,1
633,3339,-14.7,29,33,9,1,3,1,High,1
634,3481,-12.0,20,64,19,2,1,2,Low,0
635,3809,-4.0,20,55,15,1,4,4,Medium,1
636,3523,-9.4,17,23,6,5,2,4,Low,1
637,3282,-17.2,24,44,8,1,3,4,High,1
638,3261,-16.9,22,43,13,2,0,4,Low,1
639,3620,-3.7,32,22,12,3,2,2,Low,0
640,3750,-9.1,38,29,13,2,3,3,Medium,0
641,3302,-11.6,34,40,8,3,4,5,Low,1
642,2853,-12.2,37,15,11,3,3,5,Low,0
643,3440,-5.7,36,25,8,4,2,5,Low,0
644,3110,-19.4,18,26,16,5,3,5,Low,0
645,3672,-11.6,24,24,2,4,4,2,Medium,0
646,4388,-11.2,45,23,2,2,0,3,High,0
647,2689,-20.7,22,38,6,4,2,2,Low,1
648,4190,-13.5,46,30,6,3,3,3,High,0
649,3781,2.0,23,42,2,2,1,2,Medium,0
650,4161,-17.8,7,80,1,4,4,1,High,1
651,3238,-11.1,25,19,15,1,4,3,Low,0
652,2632,-26.5,36,34,9,5,4,5,Medium,0
653,3607,-13.0,44,40,8,1,7,3,High,1
654,4339,-19.5,13,51,10,2,3,4,High,0
655,2863,-14.5,36,38,17,4,2,3,Low,0
656,2953,-9.0,36,8,10,3,4,4,Low,1
657,3852,-19.9,41,16,9,4,1,4,Medium,0
658,3192,-10.3,5,32,6,2,3,1,Medium,0
659,4499,-17.5,44,16,12,2,5,3,High,1
660,3891,-21.3,32,0,9,2,4,1,High,0
661,3068,-5.1,32,13,18,2,5,5,Low,0
662,3161,-18.7,38,13,9,4,2,3,Low,0
663,3184,-15.0,7,9,15,1,4,2,Low,0
664,3474,-16.0,38,80,6,3,3,2,High,0
665,3682,-10.5,51,36,6,3,3,2,High,0
666,3638,-11.8,14,32,0,5,3,4,Low,0
667,2825,-13.2,27,48,13,2,4,2,Medium,0
668,4041,-17.0,28,65,9,2,2,5,High,1
669,3325,-13.9,31,37,13,2,0,3,Low,0
670,2943,-9.9,32,50,18,1,3,3,Low,1
671,3222,-11.2,21,19,5,2,3,4,Low,0
672,4108,-4.1,28,11,5,5,2,4,Low,1
673,3614,-6.7,45,48,6,5,3,4,Medium,0
674,3666,-4.3,32,47,0,1,2,5,High,0
675,2798,-2.5,31,45,9,2,2,3,Low,1
676,3579,-10.7,20,32,14,4,5,1,Medium,0
677,4098,-6.0,41,14,10,4,7,4,Medium,0
678,2418,-9.7,25,20,2,3,4,2,Low,0
679,3266,-2.7,7,53,8,1,1,1,Medium,1
680,3873,-24.3,32,18,10,4,3,1,High,0
681,3594,-14.2,35,33,14,3,3,4,Low,0
682,2888,-9.1,25,14,13,5,4,2,Low,0
683,3738,-8.0,5,26,8,3,3,4,Low,0
684,2799,-12.1,16,8,8,2,4,4,Low,0
685,2979,-23.6,26,28,12,2,6,2,High,0
686,3042,-13.2,24,20,7,5,0,1,Low,0
687,4426,-6.3,32,0,14,1,1,1,Medium,1
688,2498,-14.2,33,43,6,2,4,2,Medium,0
689,2542,-11.4,23,42,17,2,2,1,Low,1
690,3669,1.4,14,31,11,3,4,5,Low,0
691,3562,-13.3,42,7,0,3,2,4,Medium,0
692,3218,-13.1,33,7,13,3,6,5,Low,0
693,3508,-10.6,34,76,11,4,5,5,Medium,1
694,2861,-10.3,31,0,12,5,3,5,Low,0
695,3555,-11.1,38,8,21,1,6,3,Medium,0
696,3625,-9.2,24,72,8,3,3,3,Medium,0
697,4228,-20.3,36,79,2,1,3,5,High,0
698,4644,-12.8,34,63,16,3,5,4,High,1
699,3339,-20.6,34,40,1,2,0,5,Medium,0
700,2736,-11.6,16,17,6,1,3,5,Low,0
701,3730,-7.8,29,0,10,4,3,3,Low,0
702,3419,-13.0,31,38,5,3,2,5,Low,0
703,3393,-18.6,45,14,9,5,1,4,Low,0
704,2533,-15.0,28,59,9,2,2,4,Low,0
705,3559,0.6,38,0,17,3,0,5,Low,0
706,3753,-1.9,13,34,0,1,6,4,High,1
707,4096,-15.8,20,48,10,3,6,5,Medium,0
708,3196,-15.8,32,50,5,2,3,3,Medium,0
709,3004,-12.8,32,46,7,5,2,5,Low,0
710,3191,-3.3,20,36,13,5,0,1,Low,0
711,4060,-24.3,37,32,12,5,1,3,Medium,0
712,4331,-15.9,26,48,11,2,5,4,High,1
713,4172,-9.1,26,36,3,3,3,4,Medium,0
714,3888,-9.9,27,37,15,2,1,3,Low,0
715,3480,-15.0,41,30,5,2,3,1,High,1
716,3574,-13.8,38,22,16,3,1,3,Low,0
717,3661,-9.7,46,3,6,4,0,2,Low,0
718,3348,-14.9,33,6,15,5,2,1,Low,0
719,4033,-19.4,47,22,10,1,0,3,High,1
720,2508,-13.3,30,27,1,1,3,2,High,0
721,2619,-10.7,26,10,8,3,4,5,Low,0
722,2507,-26.9,23,9,18,1,1,1,Medium,1
723,3018,-9.3,26,22,14,4,3,5,Low,0
724,4307,-5.2,26,48,7,2,2,2,Medium,0
725,2786,-14.5,21,0,16,5,1,4,Low,0
726,2808,-14.4,22,11,11,1,0,4,Low,0
727,3004,-17.2,34,33,18,1,0,4,Low,0
728,4164,-13.1,23,55,9,3,1,5,Low,0
729,4361,-15.9,10,73,8,3,3,1,High,1
730,4109,-1.9,10,23,14,2,3,5,Low,0
731,4146,-11.1,7,22,11,5,5,5,Low,0
732,4491,-27.0,13,27,12,1,0,4,High,0
733,2422,-8.0,16,34,5,2,1,5,Low,0
734,2765,0.0,18,29,15,5,1,2,Low,1
735,3079,-8.4,30,32,14,2,2,3,Low,0
736,3562,-3.7,15,3,16,1,3,3,Low,0
737,3560,-7.3,18,0,3,3,3,3,Low,0
738,3569,-5.1,9,44,4,3,0,4,Low,0
739,4000,-5.4,21,26,6,3,5,4,Low,1
740,2349,-5.3,35,46,8,4,3,3,Low,0
741,3415,-9.8,27,34,3,2,4,1,High,1
742,3659,-24.0,28,1,13,1,0,3,Medium,0
743,3304,-19.6,27,61,7,2,4,5,High,1
744,3613,-19.5,15,30,16,3,1,3,Low,1
745,4113,-29.7,23,15,20,2,2,3,Medium,0
746,3537,-15.0,30,19,7,5,5,1,High,0
747,4782,-2.1,37,5,6,2,4,4,Medium,0
748,4070,-22.1,31,36,13,4,1,4,Medium,0
749,3659,-6.9,36,27,10,4,4,5,Low,0
750,3802,-8.3,17,70,11,3,3,3,Low,0
751,3945,-10.4,12,40,16,1,2,2,Medium,0
752,4511,-3.7,10,69,8,5,3,5,Low,0
753,4204,-12.3,36,10,4,1,2,4,High,0
754,3808,-1.3,13,23,3,1,3,1,High,0
755,3062,-13.4,38,47,9,5,3,4,Low,0
756,3748,-9.6,23,41,8,4,4,4,Low,0
757,3847,-13.0,44,29,14,3,6,1,High,0
758,3966,-18.5,23,8,16,2,4,3,Medium,0
759,3059,-21.4,24,0,16,4,4,3,Low,0
760,3942,-8.0,28,25,6,3,1,4,Low,0
761,3980,-2.6,23,26,5,4,0,5,Low,0
762,2774,-10.3,32,32,0,5,2,2,Low,1
763,2779,-8.4,17,1,10,1,2,5,Low,0
764,4170,-22.9,29,12,14,5,4,5,Medium,0
765,2986,-9.3,20,37,6,2,2,4,Low,1
766,4422,-26.6,25,41,2,5,5,4,High,0
767,3332,-20.4,14,34,19,1,0,2,Low,0
768,3730,-2.7,36,23,6,4,2,2,Low,0
769,3701,-11.9,24,6,9,3,3,2,Low,0
770,3071,-11.3,37,49,7,2,1,4,Low,0
771,4334,-8.1,20,44,3,4,4,4,Medium,0
772,3333,-6.4,27,18,14,3,4,5,Low,1
773,3535,-13.9,37,46,1,1,2,4,High,1
774,2310,-9.9,16,28,15,5,8,3,Low,0
775,2698,-12.5,19,16,11,4,0,3,Low,1
776,4176,-22.7,36,48,8,3,0,2,High,1
777,3496,-14.5,41,32,8,3,2,4,Low,0
778,3148,-9.1,28,21,12,5,3,3,Low,0
779,3158,-14.7,18,4,6,4,0,5,Low,0
780,3829,-14.6,24,6,10,4,4,1,Medium,0
781,4256,-6.5,47,46,5,1,7,5,High,0
782,3162,-10.9,14,39,0,4,0,1,Low,1
783,4157,-9.5,33,6,13,5,3,5,Low,0
784,3403,-23.4,29,6,22,4,4,3,Low,0
785,3800,-8.9,16,72,12,1,4,4,Medium,0
786,2434,-19.8,24,39,9,3,7,1,Medium,0
787,2537,-12.2,9,54,8,4,2,4,Low,0
788,3992,-19.4,30,59,8,5,6,4,High,1
789,3664,-5.5,32,11,8,4,2,3,Low,0
790,3742,0.8,14,64,10,2,1,2,Low,0
791,2852,-13.0,33,8,0,1,6,2,High,0
792,3246,-13.1,21,44,0,3,2,1,Medium,0
793,2496,-4.8,20,27,12,2,5,3,Low,0
794,2991,-8.0,18,44,9,5,2,4,Low,0
795,3486,-12.5,34,25,5,4,0,5,Low,0
796,3696,-9.4,11,40,4,1,0,5,Medium,0
797,3072,2.0,12,57,7,4,4,1,Low,0
798,3831,-16.7,22,52,7,4,0,1,Medium,0
799,3477,-16.1,22,28,17,4,2,1,Low,0
800,3364,-6.4,34,10,4,4,1,3,Low,0
801,3550,2.0,27,24,13,1,1,5,Low,0
802,4759,-10.8,27,38,12,2,1,3,Medium,0
803,3403,-24.0,11,43,8,5,3,3,Medium,0
804,4071,-9.3,25,51,13,2,0,4,Low,0
805,3827,-15.7,5,15,12,1,4,3,Medium,0
806,3351,-8.7,30,11,3,5,0,3,Low,0
807,2569,-21.5,34,9,7,3,0,4,Low,0
808,3123,-22.3,20,26,11,2,0,2,Low,0
809,3545,-14.1,31,34,7,1,3,4,High,1
810,3437,-0.4,23,37,13,1,5,1,Medium,0
811,4277,-21.6,40,1,15,1,2,2,High,0
812,3059,-14.2,30,10,9,5,3,5,Low,0
813,3411,-22.2,17,15,6,4,4,3,Medium,0
814,3821,-10.0,39,65,6,3,4,2,High,0
815,3333,-10.4,36,22,8,5,0,5,Low,0
816,4084,-22.0,23,0,7,5,6,4,Medium,0
817,2847,-3.0,32,37,14,2,2,4,Low,0
818,2588,-25.5,32,27,7,3,3,1,Medium,0
819,3328,-1.0,23,6,9,1,2,1,Medium,0
820,3457,-2.4,28,20,13,5,2,2,Low,0
821,3630,-9.9,30,23,8,3,4,3,Low,0
822,3583,-5.7,21,27,7,2,4,4,Low,1
823,3254,-13.2,41,48,14,4,0,2,Low,0
824,2595,-22.8,8,41,15,3,3,2,Low,0
825,3428,-10.3,34,32,10,1,7,2,High,0
826,2876,-23.0,15,49,18,5,3,1,Low,0
827,3542,-12.1,25,21,10,4,1,4,Low,0
828,2835,-20.7,12,15,14,2,2,1,Low,0
829,3727,-5.2,14,36,19,1,1,1,Low,1
830,4500,-9.3,27,34,6,4,0,2,Medium,0
831,3064,-7.3,28,0,7,2,2,5,Low,0
832,2740,-9.6,38,59,13,1,2,5,Medium,0
833,4186,1.2,24,9,9,5,4,5,Low,0
834,4560,-4.8,34,40,5,2,1,2,High,0
835,2752,-0.1,27,41,8,4,7,3,Low,0
836,3445,-18.3,33,0,2,1,1,4,High,0
837,3792,-15.8,17,34,10,3,3,2,Medium,0
838,3343,-29.0,28,62,10,1,1,2,High,0
839,2449,-14.7,31,15,15,4,1,1,Low,1
840,2676,-12.2,23,0,15,4,2,5,Low,1
841,2739,-9.0,31,27,8,3,3,2,Low,0
842,2875,-15.7,32,39,20,4,4,3,Low,0
843,3552,-6.8,22,28,4,1,2,4,Medium,0
844,4158,-7.3,35,10,2,2,0,3,Medium,0
845,2685,-15.3,5,9,3,1,5,2,Medium,0
846,3028,-18.7,8,0,4,4,1,2,Low,0
847,2834,-11.5,17,0,13,3,2,1,Low,1
848,3673,-11.3,30,23,18,3,3,3,Low,0
849,3006,-16.3,20,38,18,5,2,1,Low,0
850,2893,-13.8,14,33,0,3,0,3,Low,0
851,2541,-21.9,27,35,14,3,4,5,Low,0
852,4315,-7.3,29,42,17,4,0,5,Low,0
853,4813,-7.1,21,56,14,2,4,3,Medium,0
854,3550,-11.7,16,30,6,2,5,1,High,0
855,4391,-6.6,28,36,10,4,4,5,Medium,0
856,3159,-11.1,35,37,5,3,2,2,Medium,0
857,3499,-0.7,15,32,13,1,3,4,Low,0
858,3890,-21.1,43,30,2,2,1,1,High,0
859,3048,-10.6,22,32,13,4,3,3,Low,0
860,3404,-5.7,21,61,6,1,4,4,Medium,1
861,3330,-1.6,29,58,11,3,0,4,Low,0
862,3762,-6.5,29,0,8,4,2,2,Low,0
863,3537,-19.3,5,34,8,2,2,1,Medium,0
864,3063,-23.6,26,30,14,1,5,4,High,0
865,3319,-13.2,33,55,17,1,1,1,High,0
866,4168,-9.5,38,29,5,2,4,2,High,1
867,3829,-5.4,26,35,10,1,2,3,Medium,0
868,3777,-19.7,24,17,4,2,2,4,Medium,0
869,4853,-7.7,35,46,7,4,4,4,High,0
870,2821,-30.7,45,5,6,5,2,4,Medium,1
871,3925,-17.2,28,23,3,3,3,1,High,0
872,3532,-6.0,26,8,15,4,5,4,Low,1
873,3706,-20.3,40,23,10,3,1,1,High,0
874,3609,-19.7,16,19,7,3,3,5,Low,0
875,3079,-15.7,28,46,9,2,4,5,Medium,0
876,2878,-10.8,52,25,15,5,3,1,Medium,0
877,3499,-19.8,32,59,15,3,5,5,Medium,0
878,3030,-12.2,35,25,12,3,2,2,Low,0
879,3278,-15.0,24,8,6,4,4,2,Medium,0
880,3978,-3.9,33,25,10,5,5,5,Low,0
881,2763,-15.4,40,39,4,5,0,3,Low,1
882,3384,-11.8,12,63,9,3,2,1,Medium,0
883,4132,-10.8,27,17,14,5,3,5,Low,0
884,3195,-14.9,31,63,15,4,4,1,Medium,0
885,4381,-6.6,27,26,6,2,3,5,Medium,1
886,2569,-5.2,23,21,14,3,5,2,Low,0
887,4591,-15.4,41,45,13,1,1,3,High,0
888,3510,-9.9,30,58,8,3,0,1,Medium,0
889,2702,-18.5,20,41,13,3,4,3,Low,1
890,3999,-8.1,37,1,16,2,2,2,Low,0
891,3758,-10.4,41,36,14,1,1,4,Medium,0
892,4329,-14.5,39,73,4,1,6,4,High,1
893,2578,-9.7,23,0,8,1,4,1,Medium,0
894,2842,-7.9,24,37,11,2,4,2,Low,0
895,3962,-3.4,17,24,5,5,6,1,Medium,1
896,5029,-9.2,30,11,17,1,2,1,High,0
897,3845,-5.8,38,50,11,5,5,1,High,0
898,3938,1.3,33,0,7,4,3,3,Low,1
899,3043,-19.2,45,22,7,2,1,5,Medium,1
900,3390,-3.8,8,50,6,5,2,2,Low,0
901,3128,-18.2,29,47,13,1,3,3,Medium,0
902,3801,-17.0,36,41,14,1,5,5,High,1
903,4057,-12.1,21,33,6,5,0,1,Medium,0
904,3611,-16.5,16,27,17,5,0,4,Low,0
905,3977,-17.7,15,20,8,4,1,3,Low,0
906,3482,-12.4,29,10,6,2,2,2,Medium,0
907,4294,-14.3,15,46,12,3,4,2,Medium,0
908,2983,-16.7,42,34,4,4,2,5,Medium,1
909,4349,-18.7,33,46,3,4,3,3,High,0
910,3070,-2.0,25,14,5,4,6,1,Medium,0
911,3509,-20.4,27,13,6,1,0,5,Medium,1
912,2783,-13.2,38,39,13,5,2,2,Low,1
913,3803,-4.2,41,0,3,2,7,3,High,1
914,3578,-6.3,18,0,11,1,1,4,Low,0
915,3943,-10.4,20,50,14,4,1,1,Low,1
916,2459,-16.4,24,15,17,2,4,2,Low,0
917,3580,-12.1,21,33,7,1,1,3,Medium,0
918,3742,-19.9,9,37,7,3,5,4,Medium,1
919,2906,-14.0,19,50,20,4,7,2,Low,0
920,3819,-14.1,20,21,16,1,3,4,Medium,1
921,2121,-13.4,15,22,8,1,8,2,Medium,1
922,3423,-17.5,32,17,15,4,2,5,Low,0
923,4347,-23.9,26,42,11,3,2,5,Medium,0
924,3418,-3.2,34,43,10,5,1,5,Low,0
925,3068,-4.8,18,55,22,3,2,3,Low,0
926,3461,-5.9,34,5,15,4,2,5,Low,0
927,3559,-9.4,29,74,19,5,3,3,Low,0
928,4037,-10.8,22,23,4,1,0,1,High,1
929,3577,-16.9,44,29,18,3,1,5,Low,0
930,3957,-16.1,29,33,9,3,2,3,Medium,1
931,3555,-1.8,22,11,9,5,4,2,Low,0
932,3050,-0.2,30,21,11,1,3,3,Low,1
933,2658,-13.3,18,59,12,3,3,3,Low,0
934,3723,-12.0,26,59,15,5,3,2,Medium,0
935,2017,-6.9,48,34,14,3,0,3,Low,1
936,2440,-11.3,10,50,6,1,6,2,Medium,0
937,2661,-10.8,22,38,5,1,1,4,Low,0
938,3928,-12.4,26,28,9,2,4,5,Medium,1
939,2606,-18.6,24,14,9,5,2,1,Low,0
940,3782,-14.6,22,12,10,4,1,3,Low,1
941,2880,-12.9,44,14,16,3,5,2,Low,0
942,3412,-29.6,22,62,10,1,0,5,High,1
943,3462,-11.4,31,47,23,3,0,3,Low,0
944,3403,2.0,21,58,17,3,3,5,Low,1
945,3112,-15.0,31,37,8,4,3,4,Low,1
946,2560,-11.8,37,12,1,1,4,3,Medium,0
947,3516,-17.9,27,42,21,2,4,2,Medium,0
948,3834,-19.7,22,55,8,5,2,4,Medium,0
949,3907,-14.2,26,42,14,3,3,3,Low,1
950,3549,-7.6,33,3,6,4,2,5,Low,0
951,3654,-13.6,36,0,17,4,5,4,Low,0
952,3037,-14.6,30,42,14,5,1,2,Low,0
953,3769,-8.5,27,23,4,5,3,3,Low,1
954,3747,-10.6,40,36,0,1,4,5,High,0
955,3321,-10.0,21,15,10,3,5,5,Low,0
956,3528,-3.7,23,32,12,3,1,4,Low,0
957,3483,-4.5,45,7,13,5,1,3,Low,1
958,3773,-1.5,27,34,6,2,0,5,Low,1
959,2573,-20.5,34,44,6,3,2,4,Low,0
960,2561,-6.0,19,45,0,4,3,1,Low,0
961,2592,-0.5,38,3,7,5,2,5,Low,1
962,3233,-23.4,16,39,1,3,4,4,Medium,0
963,3773,-12.1,15,18,6,1,2,1,High,1
964,2152,-15.8,36,60,11,5,4,4,Low,0
965,3556,-12.2,24,49,11,4,3,5,Low,0
966,4216,-4.0,25,30,6,1,0,1,High,0
967,3663,-21.8,32,73,11,5,0,4,Medium,1
968,2288,-10.3,25,15,17,5,5,3,Low,0
969,3812,-16.0,17,28,8,3,1,1,Medium,0
970,3645,-3.8,22,40,3,1,4,4,Medium,0
971,3294,-9.1,18,70,13,5,3,3,Low,0
972,3609,-13.1,39,59,15,4,1,1,Medium,1
973,2662,-17.0,40,46,6,1,4,4,High,0
974,3530,2.0,19,12,6,3,2,5,Low,1
975,3787,-10.0,32,12,0,2,3,1,High,0
976,3084,-21.9,25,43,7,5,2,1,Medium,0
977,3217,-17.7,42,4,5,2,0,3,Medium,1
978,3159,-9.1,51,36,2,5,4,4,Medium,0
979,3214,-17.1,35,46,8,3,4,5,Medium,0
980,3001,-16.2,22,0,9,3,2,3,Low,0
981,3037,-5.1,16,42,9,3,4,1,Low,0
982,3809,-5.7,30,47,8,3,1,3,Low,0
983,2454,-16.0,26,22,17,1,1,3,Low,0
984,3609,-3.8,13,26,11,1,3,3,Low,0
985,3808,-17.0,28,0,13,5,1,1,Low,0
986,2688,-0.1,49,27,19,1,2,2,Low,0
987,3454,-8.2,36,0,14,5,1,3,Low,1
988,2950,-10.0,16,16,8,1,0,2,Low,1
989,4181,-14.7,27,21,0,1,3,5,High,0
990,3376,-16.3,31,6,8,1,3,5,Medium,0
991,4383,-28.3,32,5,17,4,3,5,Medium,0
992,4293,-14.1,11,6,14,3,2,4,Low,0
993,3684,-12.1,26,54,8,4,1,1,Medium,0
994,4785,-24.8,30,28,9,1,0,2,High,0
995,2555,-6.2,26,55,10,1,0,4,Low,0
996,4367,-13.1,8,21,6,4,1,2,Low,0
997,3339,-3.5,26,22,7,5,5,1,Medium,0
998,3423,-16.8,35,21,6,3,3,3,Medium,0
999,3223,-3.3,22,0,12,5,3,4,Low,1
1000,2629,-15.1,23,40,4,3,0,1,Low,1
1001,3841,-12.4,41,27,17,2,3,4,Medium,1
1002,2755,-10.5,26,31,9,3,3,5,Low,1
1003,3145,-12.3,29,0,4,5,6,4,Low,1
1004,3171,-9.9,9,29,15,3,2,3,Low,0
1005,4097,-25.5,17,21,17,2,2,3,Medium,0
1006,3455,-13.0,49,32,25,2,1,2,Low,0
1007,2033,-12.6,44,28,16,1,3,4,Low,0
1008,2960,-25.9,32,20,5,2,2,5,Medium,0
1009,2562,-7.5,5,41,11,4,5,3,Low,1
1010,3801,-18.4,14,50,22,5,4,2,Low,0
1011,2790,-5.4,14,21,6,4,1,5,Low,0
1012,3136,-11.4,14,1,3,4,2,5,Low,0
1013,4550,-16.0,24,2,8,5,7,5,High,0
1014,3882,-5.0,35,38,4,4,0,1,Medium,0
1015,2801,-0.4,21,55,6,4,2,3,Low,0
1016,3995,-11.7,24,0,6,4,4,1,Medium,1
1017,3069,-2.4,24,9,13,2,2,1,Low,0
1018,3993,-13.2,37,23,3,5,2,3,Medium,1
1019,3252,-5.3,36,0,10,5,2,4,Low,0
1020,2923,-14.6,29,28,6,5,0,2,Low,0
1021,2867,0.8,40,37,12,4,2,3,Low,0
1022,3672,-4.5,24,39,13,2,5,2,Medium,1
1023,4047,-8.7,45,22,14,5,0,4,Low,1
